Country,Indicators,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ANDORRA,Americas,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ANDORRA,East Asia and the Pacific,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ANDORRA,Europe,Thousands,,,,,,,,,,,,,2202.0,2283.0,2330.0,2596.8,2741.1,2921.6,2959.0,3006.4,1832.3,1902.0,3411.6
ANDORRA,Middle East,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ANDORRA,South Asia,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ANDORRA,Other not classified,Thousands,,,,,,,,,,,,,36.0,45.0,33.0,66.5,77.8,81.3,83.0,83.6,39.2,46.8,143.5
ANDORRA,"of which, nationals residing abroad",Thousands,,,,,,,,,,,,,,,,,,,,,,,
ANGOLA,Total,Thousands,51.0,67.0,91.0,106.0,194.0,209.0,121.0,194.0,294.0,364.0,426.0,481.0,528.0,650.0,595.0,592.4,397.40000000000003,261.0,217.9,217.5,63.6,63.800000000000004,129.8
ANGOLA,Africa,Thousands,8.0,15.0,17.0,31.0,42.0,43.0,19.0,33.0,37.0,46.0,73.0,148.0,173.0,223.0,105.5,176.0,52.7,40.7,34.7,31.3,8.1,11.7,25.2
ANGOLA,Americas,Thousands,8.0,9.0,15.0,15.0,34.0,36.0,21.0,38.0,59.0,76.0,83.0,58.0,68.0,74.0,83.6,105.1,61.7,33.6,37.8,32.7,9.9,8.8,18.8
ANGOLA,East Asia and the Pacific,Thousands,3.0,4.0,5.0,5.0,16.0,15.0,15.0,28.0,59.0,66.0,81.0,88.0,94.0,106.0,65.8,98.1,50.7,40.1,29.2,27.5,3.2,6.6,7.4
ANGOLA,Europe,Thousands,31.0,38.0,52.0,55.0,101.0,110.0,63.0,89.0,130.0,161.0,170.0,170.0,177.0,231.0,326.0,198.0,213.1,134.5,105.7,111.9,37.7,30.0,66.0
ANGOLA,Middle East,Thousands,,,1.0,,1.0,3.0,1.0,2.0,3.0,4.0,9.0,3.0,6.0,8.0,6.6,4.9,9.8,5.4,4.3,5.5,1.9,3.5,6.2
ANGOLA,South Asia,Thousands,1.0,1.0,1.0,,,2.0,2.0,4.0,6.0,11.0,10.0,14.0,10.0,8.0,7.5,10.3,9.4,6.7,6.2,8.6,2.8,3.2,6.2
ANGOLA,Other not classified,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ANGOLA,"of which, nationals residing abroad",Thousands,,,,,,,,,,,,,,,,,,,,,,,
ANGUILLA,Total,Thousands,43.7,47.900000000000006,43.98,46.89999999999999,54.0,62.1,72.9,77.69999999999999,68.2,57.86,61.9,65.75,64.7,69.0,71.0,73.2,79.20000000000002,68.2,54.5,95.4,25.400000000000002,28.400000000000002,74.0
ANGUILLA,Africa,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ANGUILLA,Americas,Thousands,33.1,38.7,37.48,39.3,44.8,52.1,61.7,63.8,57.0,49.0,53.1,56.6,55.3,59.5,60.6,63.1,67.4,57.1,45.8,80.8,21.2,25.2,63.7
ANGUILLA,East Asia and the Pacific,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ANGUILLA,Europe,Thousands,9.4,8.0,5.4,6.3,7.7,8.1,9.2,10.8,8.9,7.46,7.5,7.5,7.2,7.4,8.0,7.9,8.9,8.4,6.2,10.7,3.1,2.1,8.0
ANGUILLA,Middle East,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ANGUILLA,South Asia,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ANGUILLA,Other not classified,Thousands,1.2,1.2,1.1,1.3,1.5,1.9,2.0,3.1,2.3,1.4,1.3,1.65,2.2,2.1,2.4,2.2,2.9,2.7,2.5,3.9,1.1,1.1,2.3
ANGUILLA,"of which, nationals residing abroad",Thousands,,,,,,,,,,,,,,,,,,,,,,,
ANTIGUA AND BARBUDA,Total,Thousands,206.0,193.0,198.0,225.0,245.0,245.0,254.0,262.0,266.0,234.20000000000002,229.9,241.20000000000002,247.00000000000003,242.8,249.0,250.1,265.20000000000005,247.39999999999995,268.90000000000003,301.1,125.0,169.4,265.1
ANTIGUA AND BARBUDA,Africa,Thousands,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.6,0.6,0.1,0.4,1.0
