Country,Indicators,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ARGENTINA,Same-day visitors (excursionists),Thousands,,,,,,,,,,,,,,,,,3318.0,3253.0,3452.0,3732.0,1007.0,163.0,3613.0
ARGENTINA,"of which, cruise passengers",Thousands,,,,,,,,,,,,,,,,,,,,,,,
ARMENIA,Total arrivals,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ARMENIA,Overnights visitors (tourists),Thousands,45.0,123.0,162.0,206.0,263.0,319.0,382.0,511.0,558.0,575.0,684.0,758.0,963.0,1084.0,1204.0,1192.0,1260.0,1495.0,1652.0,1894.0,375.0,870.0,1666.0
ARMENIA,Same-day visitors (excursionists),Thousands,,,,,,,,,,,,,,,,,,,,,,,
ARMENIA,"of which, cruise passengers",Thousands,,,,,,,,,,,,,,,,,,,,,,,
ARUBA,Total arrivals,Thousands,1211.0,1178.0,1225.0,1184.0,1304.0,1286.0,1285.0,1254.0,1383.0,1420.0,1394.0,1469.0,1481.0,1667.0,1739.0,1832.0,1758.0,1863.0,1897.0,1951.0,623.0,943.0,1711.0
ARUBA,Overnights visitors (tourists),Thousands,721.0,691.0,643.0,642.0,728.0,733.0,694.0,772.0,827.0,813.0,824.0,869.0,904.0,979.0,1072.0,1225.0,1102.0,1070.5,1082.0,1119.0,368.0,807.0,1101.0
ARUBA,Same-day visitors (excursionists),Thousands,490.0,487.0,582.0,542.0,576.0,553.0,591.0,482.0,556.0,607.0,570.0,600.0,577.0,688.0,667.0,607.0,656.0,792.4,815.0,832.0,255.0,136.0,610.0
ARUBA,"of which, cruise passengers",Thousands,490.0,487.0,582.0,542.0,576.0,553.0,591.0,482.0,556.0,607.0,570.0,600.0,577.0,688.0,667.0,607.0,656.0,792.4,815.0,832.0,255.0,136.0,610.0
AUSTRALIA,Total arrivals,Thousands,4931.0,4856.0,4841.0,4746.0,5215.0,5499.0,5532.0,5644.0,5586.0,5490.0,5790.0,5771.0,6032.0,6482.0,6922.0,7449.0,8269.0,8815.0,9246.0,9466.0,1828.0,246.0,3694.0
AUSTRALIA,Overnights visitors (tourists),Thousands,4530.0,4435.0,4420.0,4354.0,4774.0,5020.0,5064.0,,,,,,,,,,,,,,,,
AUSTRALIA,Same-day visitors (excursionists),Thousands,37.0,41.0,43.0,30.0,23.0,26.0,35.0,,,,,,,,,,,,,,,,
AUSTRALIA,"of which, cruise passengers",Thousands,,,,,,,,,,,,,,,,,,,,,,,
AUSTRIA,Total arrivals,Thousands,,,,,,,,,,,,,,,,,,,,,,,
AUSTRIA,Overnights visitors (tourists),Thousands,17982.0,18180.0,18611.0,19078.0,19374.0,19952.0,20269.0,20773.0,21935.0,21355.0,22004.0,23012.0,24151.0,24813.0,25291.0,26728.0,28121.0,29460.0,30816.0,31884.0,15091.0,12728.0,26215.0
AUSTRIA,Same-day visitors (excursionists),Thousands,,,,,,,,,,,,,,,,,,,,,,,
AUSTRIA,"of which, cruise passengers",Thousands,,,,,,,,,,,,,,,,,,,,,,,
AZERBAIJAN,Total arrivals,Thousands,681.0,767.0,834.0,1038.0,1279.0,1177.0,1194.0,1333.0,1899.0,1830.0,1963.0,2239.0,2484.0,2509.0,2298.0,2006.0,2249.0,2697.0,2850.0,3170.0,796.0,792.0,1602.0
AZERBAIJAN,Overnights visitors (tourists),Thousands,,,576.0,768.0,989.0,693.0,682.0,732.0,1043.0,1005.0,1280.0,1562.0,1986.0,2130.0,2160.0,1922.0,2044.0,2454.0,2633.0,2876.0,587.0,,1508.0
AZERBAIJAN,Same-day visitors (excursionists),Thousands,,,258.0,270.0,290.0,484.0,512.0,601.0,856.0,825.0,683.0,677.0,498.0,379.0,138.0,84.0,204.0,243.0,216.0,294.0,209.0,,94.0
AZERBAIJAN,"of which, cruise passengers",Thousands,,,,,,,,,,,,,,,,,,,,,,,
BAHAMAS,Total arrivals,Thousands,4204.0,4183.0,4406.0,4594.0,5004.0,4779.0,4731.0,4601.0,4394.0,4645.0,5255.0,5588.0,5940.0,6151.0,6320.0,6112.0,6265.0,6136.0,6622.0,7250.0,1794.5,2101.0,7000.7
BAHAMAS,Overnights visitors (tourists),Thousands,1544.0,1538.0,1513.0,1505.0,1561.0,1625.0,1613.0,1538.0,1469.0,1336.0,1378.0,1355.0,1431.0,1377.0,1444.0,1496.0,1499.0,1452.0,1633.0,1807.0,441.0,892.0,1452.4
BAHAMAS,Same-day visitors (excursionists),Thousands,2660.0,2645.0,2893.0,3089.0,3443.0,3154.0,3118.0,3063.0,2925.0,3309.0,3877.0,4233.0,4509.0,4774.0,4876.0,4616.0,4766.0,4684.0,4990.0,5444.0,1354.0,1209.0,5548.6
BAHAMAS,"of which, cruise passengers",Thousands,2513.0,2552.0,2802.0,2970.0,3360.0,3079.0,3079.0,2971.0,2861.0,3256.0,3810.0,4161.0,4434.0,4709.0,4805.0,4513.0,4690.0,4626.0,4878.0,5433.0,1327.1,1115.0,5390.0
BAHRAIN,Total arrivals,Thousands,3869.0,4388.0,4831.0,4844.0,5667.0,6313.0,7289.0,7833.0,8631.0,8861.0,11952.0,6732.0,8062.0,9163.0,10452.0,9670.0,10158.0,11374.0,12045.0,11061.0,1909.0,3612.0,9949.0
BAHRAIN,Overnights visitors (tourists),Thousands,2420.0,2789.0,3167.0,2955.0,3514.0,3914.0,4519.0,4935.0,,,,,,,,3964.0,3990.0,4373.0,4366.0,3849.0,827.0,2182.0,3712.0
BAHRAIN,Same-day visitors (excursionists),Thousands,1449.0,1599.0,1664.0,1889.0,2153.0,2399.0,2770.0,2898.0,,,,,,,,5706.0,6168.0,7001.0,7678.0,7212.0,1082.0,1430.0,6237.0
BAHRAIN,"of which, cruise passengers",Thousands,,,,,,,,,,,,,,,,40.0,56.0,69.0,81.0,134.0,51.0,7.0,33.0
BANGLADESH,Total arrivals,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BANGLADESH,Overnights visitors (tourists),Thousands,199.0,207.0,207.0,245.0,271.0,208.0,200.0,289.0,467.0,267.0,139.0,157.0,160.0,104.0,134.0,126.0,182.0,237.0,267.0,323.0,182.0,135.0,
BANGLADESH,Same-day visitors (excursionists),Thousands,,,,,,,,,,,,,,,,,,,,,,,
BANGLADESH,"of which, cruise passengers",Thousands,,,,,,,,,,,,,,,,,,,,,,,
BARBADOS,Total arrivals,Thousands,1078.0,1035.0,1021.0,1090.0,1273.0,1111.0,1102.0,1191.0,1165.0,1154.0,1197.0,1187.0,1053.0,1079.0,1079.0,1179.0,1227.0,1345.0,1356.0,966.0,545.8,242.0,897.6
BARBADOS,Overnights visitors (tourists),Thousands,545.0,507.0,498.0,531.0,552.0,548.0,563.0,575.0,568.0,519.0,532.0,568.0,536.0,509.0,521.0,592.0,632.0,664.0,680.0,523.0,207.4,144.8,539.7
BARBADOS,Same-day visitors (excursionists),Thousands,533.0,528.0,523.0,559.0,721.0,563.0,539.0,616.0,597.0,635.0,665.0,619.0,517.0,570.0,558.0,587.0,595.0,681.0,676.0,443.0,338.4,97.4,357.9
BARBADOS,"of which, cruise passengers",Thousands,533.0,528.0,523.0,559.0,721.0,563.0,539.0,616.0,597.0,635.0,665.0,619.0,517.0,570.0,558.0,587.0,595.0,681.0,676.0,443.0,338.0,97.4,357.9
BELARUS,Total arrivals,Thousands,2030.0,1852.0,1907.0,1729.0,1816.0,4738.0,5276.0,5283.0,5262.0,4872.0,5674.0,5877.0,6130.0,6242.0,5375.0,4386.0,10935.0,11060.0,11502.0,11832.0,3598.0,3361.0,4920.0
BELARUS,Overnights visitors (tourists),Thousands,262.0,221.0,209.0,229.0,239.0,253.0,292.0,368.0,477.0,512.0,677.0,783.0,993.0,1003.0,1080.0,966.0,1929.0,2000.0,2142.0,2206.0,577.0,787.0,1492.0
BELARUS,Same-day visitors (excursionists),Thousands,,,,,,,,,,,,,,,,175.0,96.0,136.0,198.0,228.0,47.0,27.0,82.0
BELARUS,"of which, cruise passengers",Thousands,,,,,,,,,,,,,,,,,,,,,,,
BELGIUM,Total arrivals,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BELGIUM,Overnights visitors (tourists),Thousands,6457.0,6452.0,6720.0,6690.0,6710.0,6747.0,6995.0,7045.0,7165.0,6815.0,7186.0,7494.0,7560.0,7684.0,7887.0,8355.0,7481.0,8385.0,9119.0,9343.0,2584.0,3243.0,8220.0
BELGIUM,Same-day visitors (excursionists),Thousands,,,,,,,,,,,,,,,,,,,,,,,
BELGIUM,"of which, cruise passengers",Thousands,,,,,,,,,,,,,,,,,,,,,,,
BELIZE,Total arrivals,Thousands,374.0,385.0,694.0,999.0,1329.0,1037.0,903.0,880.0,846.0,941.0,1054.0,1106.0,1028.0,1022.0,1289.0,1299.0,1391.0,1441.0,1697.0,1674.0,487.0,437.0,
BELIZE,Overnights visitors (tourists),Thousands,196.0,196.0,200.0,221.0,231.0,237.0,247.0,251.0,245.0,232.0,242.0,250.0,277.0,294.0,321.0,341.0,386.0,427.0,489.0,503.0,144.1,219.0,372.6
BELIZE,Same-day visitors (excursionists),Thousands,178.0,189.0,494.0,778.0,1098.0,800.0,656.0,629.0,601.0,709.0,812.0,856.0,751.0,728.0,968.0,958.0,1005.0,1014.0,1208.0,1171.0,343.1,218.0,
BELIZE,"of which, cruise passengers",Thousands,58.0,48.0,320.0,575.0,851.0,800.0,656.0,624.0,597.0,705.0,779.0,735.0,641.0,677.0,968.0,958.0,1005.0,1014.0,1208.0,1171.0,343.0,210.0,615.0
BENIN,Total arrivals,Thousands,1068.0,1155.0,853.0,850.0,845.0,960.0,975.0,1010.0,1027.0,,,222.0,232.0,252.0,265.0,279.0,292.0,307.0,322.0,337.0,354.0,,
BENIN,Overnights visitors (tourists),Thousands,96.0,88.0,72.0,175.0,174.0,176.0,180.0,186.0,188.0,190.0,199.0,209.0,220.0,231.0,242.0,255.0,267.0,281.0,295.0,309.0,325.0,,
BENIN,Same-day visitors (excursionists),Thousands,,,,,,,,,,,,11.0,12.0,21.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,,
BENIN,"of which, cruise passengers",Thousands,,,,,,,,,,,,1.0,2.0,6.0,7.0,8.0,9.0,11.0,12.0,13.0,14.0,,
BERMUDA,Total arrivals,Thousands,539.0,458.0,484.0,483.0,478.0,517.0,635.0,660.0,550.0,554.0,580.0,652.0,610.0,576.0,580.0,597.0,642.0,688.0,766.0,805.0,51.4,86.4,548.5
BERMUDA,Overnights visitors (tourists),Thousands,332.0,278.0,284.0,257.0,272.0,270.0,299.0,306.0,264.0,236.0,232.0,236.0,232.0,236.0,224.0,220.0,244.0,270.0,282.0,269.0,42.1,72.2,145.9
BERMUDA,Same-day visitors (excursionists),Thousands,207.0,180.0,200.0,226.0,206.0,247.0,336.0,354.0,286.0,318.0,348.0,416.0,378.0,340.0,356.0,377.0,398.0,418.0,484.0,536.0,9.3,14.2,402.7
BERMUDA,"of which, cruise passengers",Thousands,207.0,180.0,200.0,226.0,206.0,247.0,336.0,354.0,286.0,318.0,348.0,416.0,378.0,340.0,356.0,377.0,398.0,418.0,484.0,536.0,9.3,14.2,402.7
BHUTAN,Total arrivals,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BHUTAN,Overnights visitors (tourists),Thousands,7.6,6.4,5.6,6.3,9.2,13.6,17.3,21.0,28.0,23.0,41.0,66.0,105.0,116.0,133.0,155.0,210.0,255.0,274.0,316.0,29.8,0.001,20.9
BHUTAN,Same-day visitors (excursionists),Thousands,,,,,,,,,,,,,,,,,,,,,,,
BHUTAN,"of which, cruise passengers",Thousands,,,,,,,,,,,,,,,,,,,,,,,
