Country,Indicators,,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ARMENIA,Total,,Thousands,45.0,124.0,162.0,206.0,262.0,318.0,381.0,511.0,558.0,575.0,683.0,758.0,963.0,1084.0,1204.0,1192.1,1259.6999999999998,1494.8000000000002,1651.8,1894.0,375.20000000000005,870.4000000000001,1665.6999999999998
ARMENIA,Air,,Thousands,39.0,107.0,135.0,173.0,196.0,225.0,270.0,344.0,371.0,382.0,460.0,503.0,564.0,618.0,701.0,693.1,740.3,765.6,806.0,980.0,198.8,648.7,1054.3
ARMENIA,Water,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ARMENIA,Land,,Thousands,6.0,17.0,27.0,33.0,66.0,93.0,111.0,167.0,187.0,193.0,223.0,255.0,399.0,466.0,503.0,499.0,519.4,729.2,845.8,914.0,176.4,221.70000000000002,611.4
ARUBA,Total,,Thousands,1211.0,1178.0,1225.0,1184.0,1304.0,1286.0,1285.0,1254.0,1383.0,1420.0,1394.0,1469.0,1481.0,1667.0,1739.0,1832.0,1758.0,1862.9,1897.0,1950.9,623.7,942.6,1711.4740000000002
ARUBA,Air,,Thousands,721.0,691.0,643.0,642.0,728.0,733.0,694.0,772.0,827.0,813.0,824.0,869.0,904.0,979.0,1072.0,1225.0,1102.0,1070.5,1082.0,1118.9,368.3,806.6,1101.0
ARUBA,Water,,Thousands,490.0,487.0,582.0,542.0,576.0,553.0,591.0,482.0,556.0,607.0,570.0,600.0,577.0,688.0,667.0,607.0,656.0,792.4,815.0,832.0,255.4,136.0,610.474
ARUBA,Land,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
AUSTRALIA,Total,,Thousands,4931.0,4856.0,4841.0,4746.0,5215.0,5499.0,5533.0,5645.0,5585.0,5490.0,5790.0,5771.0,6033.0,6481.7,6921.7,7449.2,8268.9,8815.300000000001,9245.599999999999,9465.9,1827.6999999999998,246.2,3694.4
AUSTRALIA,Air,,Thousands,4904.0,4832.0,4819.0,4730.0,5201.0,5486.0,5514.0,5619.0,5558.0,5464.0,5772.0,5760.0,6017.0,6385.5,6864.5,7387.2,8209.1,8743.1,9167.3,9387.4,1788.6,246.0,3675.3
AUSTRALIA,Water,,Thousands,27.0,24.0,22.0,16.0,14.0,13.0,19.0,26.0,27.0,26.0,18.0,11.0,16.0,96.2,57.2,62.0,59.8,72.2,78.3,78.5,39.1,0.2,19.1
AUSTRALIA,Land,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
AUSTRIA,Total,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
AUSTRIA,Air,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
AUSTRIA,Water,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
AUSTRIA,Land,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
AZERBAIJAN,Total,,Thousands,681.0,767.0,834.0,1038.0,1279.0,1177.0,1193.0,1332.0,1899.0,1830.0,1963.0,2239.0,2484.0,2508.9,2297.7,2006.7,2248.5,2696.7,2849.5,3170.3999999999996,795.7,791.8000000000001,1602.3
AZERBAIJAN,Air,,Thousands,658.0,739.0,173.0,217.0,276.0,276.0,281.0,297.0,572.0,624.0,646.0,795.0,946.0,993.5,1089.2,968.9,1164.9,1151.5,1183.8,1285.2,219.4,380.2,1042.1
AZERBAIJAN,Water,,Thousands,1.0,2.0,2.0,6.0,8.0,10.0,9.0,9.0,15.0,13.0,14.0,20.0,21.0,26.6,16.1,32.1,16.8,18.9,28.3,24.5,19.7,17.1,24.0
AZERBAIJAN,Land,,Thousands,22.0,26.0,659.0,815.0,995.0,891.0,903.0,1026.0,1312.0,1193.0,1303.0,1424.0,1517.0,1488.8,1192.4,1005.7,1066.8,1526.3,1637.4,1860.6999999999998,556.6,394.50000000000006,536.2
BAHAMAS,Total,,Thousands,4203.0,4183.0,4406.0,4594.0,5004.0,4779.4,4731.0,4601.0,4394.0,4645.0,5255.0,5588.0,5940.0,6151.0,6320.0,6112.0,6265.0,6135.799999999999,6622.0,7249.5,1794.5,2100.6,7000.7
BAHAMAS,Air,,Thousands,1481.0,1428.0,1403.0,1429.0,1450.0,1514.5,1492.0,1487.0,1393.0,1252.0,1295.0,1268.0,1357.0,1281.0,1343.0,1391.0,1392.0,1335.6,1558.1,1662.4,418.3,886.6,1470.2
BAHAMAS,Water,,Thousands,2722.0,2755.0,3003.0,3165.0,3554.0,3264.9,3239.0,3114.0,3001.0,3393.0,3960.0,4320.0,4583.0,4870.0,4977.0,4721.0,4873.0,4800.2,5063.9,5587.1,1376.2,1214.0,5530.5
BAHAMAS,Land,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BAHRAIN,Total,,Thousands,3869.0,4388.0,4830.0,4844.0,5667.0,6313.0,7289.0,7834.0,8631.0,8860.0,11951.0,6732.0,8064.0,9162.5,10448.8,9670.0,10158.0,11374.0,12044.7,11061.199999999999,1909.0,3612.1,9948.699999999999
BAHRAIN,Air,,Thousands,720.0,791.0,920.0,974.0,1176.0,1301.0,1544.0,1642.0,1855.0,1941.0,2280.0,1521.0,1628.0,1615.0,1705.5,1048.0,1069.0,1196.6,1150.5,1220.6,299.0,393.3,978.7
BAHRAIN,Water,,Thousands,6.0,9.0,13.0,8.0,7.0,5.0,12.0,53.0,80.0,94.0,143.0,55.0,55.0,66.0,59.0,40.0,56.0,68.6,81.1,133.7,51.3,7.3,32.6
BAHRAIN,Land,,Thousands,3143.0,3588.0,3897.0,3862.0,4484.0,5007.0,5733.0,6139.0,6696.0,6825.0,9528.0,5156.0,6381.0,7481.5,8684.3,8582.0,9033.0,10108.8,10813.1,9706.9,1558.7,3211.5,8937.4
BANGLADESH,Total,,Thousands,199.0,207.0,207.0,245.0,271.0,208.0,200.0,289.0,,,,,,,,,,,,,,,
BANGLADESH,Air,,Thousands,151.0,158.0,151.0,187.0,218.0,140.0,151.0,227.0,,,,,,,,,,,,,,,
BANGLADESH,Water,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BANGLADESH,Land,,Thousands,48.0,49.0,56.0,58.0,53.0,68.0,49.0,62.0,,,,,,,,,,,,,,,
