Country,Indicators,,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ARMENIA,Business and professional,,Thousands,4.0,25.0,31.0,39.0,46.0,67.0,114.0,175.0,189.0,197.0,230.0,235.0,332.0,412.0,428.0,422.0,401.8,357.3,450.9,301.0,56.3,154.0,559.7
ARUBA,Total,,Thousands,721.0,691.0,643.0,642.0,728.0,733.0,694.0,772.0,827.0,,824.0,869.0,904.0,979.0,1072.0,1225.0,1102.0,1070.5,1081.9,1118.9,368.3,806.6999999999999,1100.8999999999999
ARUBA,Personal,,Thousands,681.0,651.0,612.0,609.0,695.0,699.0,660.0,737.0,799.0,,800.0,816.0,856.0,924.0,1015.0,1162.2,1042.0,1008.7,1022.5,1070.9,348.90000000000003,772.4,1038.1
ARUBA,Business and professional,,Thousands,40.0,40.0,31.0,33.0,33.0,34.0,34.0,35.0,28.0,,24.0,53.0,48.0,55.0,57.0,62.8,60.0,61.8,59.4,48.0,19.4,34.3,62.8
AUSTRALIA,Total,,Thousands,4931.0,4856.0,4841.0,4747.0,5215.0,5499.0,5533.0,5645.0,5586.0,5490.0,5791.0,5771.0,6032.0,6481.699999999999,6921.799999999999,7449.3,8268.8,8815.3,9245.6,9465.8,1827.6999999999998,246.3,3694.4
AUSTRALIA,Personal,,Thousands,4080.0,4019.0,3968.0,3847.0,4216.0,4395.0,4315.0,4336.0,4247.0,4271.0,4431.0,4351.0,4577.0,5038.299999999999,5435.4,5869.6,6670.3,7071.7,7440.1,7624.299999999999,1421.8,192.3,2957.3
AUSTRALIA,Business and professional,,Thousands,851.0,837.0,873.0,900.0,999.0,1104.0,1218.0,1309.0,1339.0,1219.0,1360.0,1420.0,1455.0,1443.4,1486.4,1579.7,1598.5,1743.6,1805.5,1841.5,405.9,54.0,737.1
AUSTRIA,Total,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
AUSTRIA,Personal,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
AUSTRIA,Business and professional,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
AZERBAIJAN,Total,,Thousands,681.0,767.0,834.0,1038.0,1280.0,1177.0,1194.0,1333.0,1899.0,1830.0,1963.0,2239.0,2484.0,2509.0,2297.8,2006.2,2248.8,2696.7,2849.6,3170.3999999999996,795.7,791.8,1602.3000000000002
AZERBAIJAN,Personal,,Thousands,75.0,49.0,59.0,103.0,150.0,890.0,910.0,1028.0,1505.0,1450.0,1415.0,1647.0,1889.0,1860.0,1627.4,1373.9,1557.1,1862.3,2062.2,2319.8999999999996,618.2,595.1,1201.8000000000002
