Country,Years,Overnights visitors (tourists) (Thousands),Same-day visitors (excursionists) (Thousands),Total trips (Thousands)
PHILIPPINES,2004,,,24860.0
PHILIPPINES,2005,,,30287.0
PHILIPPINES,2006,,,31391.0
PHILIPPINES,2007,,,36787.0
PHILIPPINES,2008,,,30625.0
PHILIPPINES,2009,,,30757.0
PHILIPPINES,2010,,,32165.0
PHILIPPINES,2011,,,36836.0
PHILIPPINES,2012,,,40506.0
PHILIPPINES,2013,,,44681.0
PHILIPPINES,2014,,,60366.0
PHILIPPINES,2015,,,67463.0
PHILIPPINES,2016,,,75668.0
PHILIPPINES,2017,,,95641.0
PHILIPPINES,2018,,,109755.0
PHILIPPINES,2019,,,122118.0
PHILIPPINES,2020,,,26982.0
PHILIPPINES,2021,,,37279.0
PHILIPPINES,2022,,,102958.0
POLAND,2005,35900.0,,
POLAND,2006,38500.0,,
POLAND,2007,34900.0,,
POLAND,2008,34900.0,,
POLAND,2009,30800.0,,
POLAND,2010,33900.0,,
POLAND,2011,29600.0,,
POLAND,2012,40700.0,,
POLAND,2013,42450.0,,
POLAND,2014,38300.0,,
POLAND,2015,39900.0,,
POLAND,2016,43500.0,,
POLAND,2017,45900.0,,
POLAND,2018,47700.0,,
POLAND,2019,50000.0,,
POLAND,2020,38600.0,,
POLAND,2021,46278.0,34393.0,
POLAND,2022,51702.0,,
PORTUGAL,2012,12670.0,,
PORTUGAL,2013,16371.0,,
PORTUGAL,2014,16263.0,,
PORTUGAL,2015,17254.0,,
PORTUGAL,2016,18241.0,,
PORTUGAL,2017,18993.0,,
PORTUGAL,2018,19593.3,,
PORTUGAL,2019,21363.0,,
PORTUGAL,2020,13729.0,,
PORTUGAL,2021,16506.0,,
PORTUGAL,2022,19969.0,,
ROMANIA,2003,8668.0,,
ROMANIA,2004,10520.0,,
ROMANIA,2005,8736.0,,
ROMANIA,2006,6688.0,,
ROMANIA,2007,9294.0,,
ROMANIA,2008,9716.0,,
ROMANIA,2009,11651.0,,
ROMANIA,2010,10797.0,30087.0,40884.0
ROMANIA,2011,11986.0,29018.0,41004.0
ROMANIA,2012,15833.0,37680.0,53513.0
ROMANIA,2013,16357.0,36053.0,52410.0
ROMANIA,2014,15840.0,34244.0,50084.0
ROMANIA,2015,16194.0,36568.0,52762.0
ROMANIA,2016,15015.0,31971.0,46986.0
ROMANIA,2017,16444.0,34809.0,51253.0
ROMANIA,2018,16461.0,35624.0,52085.0
ROMANIA,2019,16863.0,36062.0,52925.0
ROMANIA,2020,11088.0,26544.0,37632.0
ROMANIA,2021,16045.0,34605.0,50650.0
ROMANIA,2022,16261.0,35103.0,51364.0
SAUDI ARABIA,2004,35282.0,4333.0,39615.0
SAUDI ARABIA,2005,30236.0,1992.0,32228.0
SAUDI ARABIA,2006,27080.0,1320.0,28400.0
SAUDI ARABIA,2007,28549.0,1123.0,29672.0
SAUDI ARABIA,2008,28775.0,1274.0,30049.0
SAUDI ARABIA,2009,32014.0,1512.0,33526.0
SAUDI ARABIA,2010,22780.0,1132.0,23912.0
SAUDI ARABIA,2011,26155.337,3173.59,29328.927
SAUDI ARABIA,2012,21006.132,2274.341,23280.473
SAUDI ARABIA,2013,23783.21,2650.111,26433.321
SAUDI ARABIA,2014,37101.0,6670.0,43771.0
SAUDI ARABIA,2015,46450.0,7666.0,54117.0
SAUDI ARABIA,2016,45036.0,4839.0,49875.0
SAUDI ARABIA,2017,43821.0,3089.0,46910.0
SAUDI ARABIA,2018,43255.0,3256.0,46512.0
SAUDI ARABIA,2019,47805.0,5269.0,53074.0
SAUDI ARABIA,2020,42107.0,6292.0,48399.0
SAUDI ARABIA,2021,63834.0,44295.0,108129.0
SAUDI ARABIA,2022,77837.0,47980.0,125817.0
SENEGAL,2014,308.0,,
SENEGAL,2015,396.0,,
SENEGAL,2016,485.0,,
SENEGAL,2017,548.0,,
SLOVAKIA,2005,,,5925.0
SLOVAKIA,2006,,,5927.0
SLOVAKIA,2007,,,6242.0
SLOVAKIA,2008,,,5842.0
SLOVAKIA,2009,,,4996.0
SLOVAKIA,2010,,,4844.0
SLOVAKIA,2011,,,5324.0
SLOVAKIA,2012,,,4477.0
SLOVAKIA,2013,,,4766.0
SLOVAKIA,2014,,,4932.0
SLOVAKIA,2015,,,5595.0
SLOVAKIA,2016,,,6728.0
SLOVAKIA,2017,,,7100.0
SLOVAKIA,2018,,,7761.0
SLOVAKIA,2019,,,8690.0
SLOVAKIA,2020,,,4418.0
SLOVAKIA,2021,,,4750.0
SLOVENIA,2000,2301.0,,
SLOVENIA,2001,1923.0,,
SLOVENIA,2002,1720.0,,
SLOVENIA,2003,1609.0,,
SLOVENIA,2004,2027.0,,
SLOVENIA,2005,1939.0,,
SLOVENIA,2006,2744.0,,
SLOVENIA,2007,1757.0,,
SLOVENIA,2008,1929.0,,
SLOVENIA,2009,2364.0,,
SLOVENIA,2010,1987.0,,
SLOVENIA,2011,2044.0,,
SLOVENIA,2012,2065.0,8825.0,10890.0
SLOVENIA,2013,2025.0,,
SLOVENIA,2014,1888.0,,
SLOVENIA,2015,1535.0,8481.0,10016.0
SLOVENIA,2016,1720.0,,
SLOVENIA,2017,1813.0,,
SLOVENIA,2018,2003.0,8914.0,10917.0
SLOVENIA,2019,1742.0,,
SLOVENIA,2020,1263.0,,
SLOVENIA,2021,3253.0,10790.0,14042.0
SLOVENIA,2022,2773.0,,
SOUTH AFRICA,2007,35974.0,115237.0,151211.0
SOUTH AFRICA,2008,32860.0,137918.0,170778.0
SOUTH AFRICA,2009,30292.0,137935.0,168227.0
SOUTH AFRICA,2010,29128.0,142750.0,171878.0
SOUTH AFRICA,2011,26404.0,146333.0,172737.0
SOUTH AFRICA,2012,25438.0,156754.0,182192.0
SOUTH AFRICA,2013,25200.0,253500.0,278700.0
SOUTH AFRICA,2014,28000.0,245900.0,273900.0
SOUTH AFRICA,2015,24500.0,224500.0,249000.0
SOUTH AFRICA,2016,24300.0,125200.0,149500.0
SOUTH AFRICA,2017,17200.0,135000.0,152000.0
SOUTH AFRICA,2018,17600.0,115000.0,132600.0
SOUTH AFRICA,2019,28500.0,236500.0,265000.0
SOUTH AFRICA,2020,17000.0,108040.0,125040.0
SOUTH AFRICA,2021,14800.0,68760.0,83560.0
SOUTH AFRICA,2022,34000.0,176365.0,210365.0
SPAIN,2000,146401.688,224615.526,371017.21400000004
SPAIN,2001,150567.69,254724.98,405292.67000000004
SPAIN,2002,147754.779,255245.115,402999.894
SPAIN,2003,154252.871,278409.227,432662.098
SPAIN,2004,152351.633,263285.482,415637.115
SPAIN,2005,157005.36,,
SPAIN,2006,154968.365,,
SPAIN,2007,146781.703,208772.814,355554.517
SPAIN,2008,157614.545,235286.702,392901.247
SPAIN,2009,154995.306,210257.808,365253.114
SPAIN,2010,145477.42,208947.392,354424.81200000003
SPAIN,2011,147407.636,200287.486,347695.122
SPAIN,2012,148369.0,224442.0,372811.0
SPAIN,2013,144527.25165739996,253895.70184669993,398422.95350409986
SPAIN,2014,139615.0,323146.0,462761.0
SPAIN,2015,150589.0,221676.0,372265.0
SPAIN,2016,158938.0,238196.0,397134.0
SPAIN,2017,167973.0,280332.0,448305.0
SPAIN,2018,168288.0,278191.0,446479.0
SPAIN,2019,165953.0,257619.0,423572.0
SPAIN,2020,90129.0,160340.0,250469.0
SPAIN,2021,128082.0,212971.0,341053.0
SPAIN,2022,147713.0,206207.0,353920.0
STATE OF PALESTINE,2017,42.9,3175.9,3219.0
STATE OF PALESTINE,2018,47.6,2877.1,2925.0
STATE OF PALESTINE,2019,58.9,3668.1,3727.0
STATE OF PALESTINE,2020,16.7,1341.3,1358.0
SWEDEN,2009,39068.0,,
SWEDEN,2010,44670.0,,
SWEDEN,2011,44756.0,,
SWEDEN,2012,44449.0,,
SWEDEN,2013,48926.0,,
SWEDEN,2017,37316.0,16900.0,54217.0
SWEDEN,2018,35686.0,20194.0,55880.0
SWEDEN,2019,36891.0,19280.0,56171.0
SWEDEN,2020,49831.0,78961.0,128792.0
SWEDEN,2021,5185.0,71484.0,122669.0
SWITZERLAND,2003,9097.0,80907.0,90004.0
SWITZERLAND,2008,8922.0,72394.0,81317.0
SWITZERLAND,2009,6730.0,69382.0,76112.0
SWITZERLAND,2010,6584.0,62012.0,68597.0
SWITZERLAND,2011,5779.0,55340.0,61119.0
SWITZERLAND,2012,6653.0,56430.0,63084.0
SWITZERLAND,2013,7227.0,58939.0,66166.0
SWITZERLAND,2014,6526.0,61010.0,67535.0
SWITZERLAND,2015,6545.0,61575.0,68120.0
SWITZERLAND,2016,6377.0,60285.0,66662.0
SWITZERLAND,2017,6795.0,61423.0,68218.0
SWITZERLAND,2018,6661.0,62872.0,69533.0
SWITZERLAND,2019,6541.0,62686.0,69227.0
SWITZERLAND,2020,7202.0,47826.0,55028.0
SWITZERLAND,2021,7625.3,68579.0,76204.3
SWITZERLAND,2022,7167.8,52826.5,59994.3
TAIWAN PROVINCE OF CHINA,2006,42048.0,65492.0,107541.0
TAIWAN PROVINCE OF CHINA,2007,33185.0,77064.0,110250.0
TAIWAN PROVINCE OF CHINA,2008,30474.0,67515.0,96197.0
TAIWAN PROVINCE OF CHINA,2009,28378.0,67818.0,97990.0
TAIWAN PROVINCE OF CHINA,2010,37181.0,86756.0,123937.0
TAIWAN PROVINCE OF CHINA,2011,46137.0,106130.0,152268.0
TAIWAN PROVINCE OF CHINA,2012,39921.0,102148.0,142069.0
TAIWAN PROVINCE OF CHINA,2013,40503.0,102113.0,142615.0
TAIWAN PROVINCE OF CHINA,2014,43909.0,112350.0,156260.0
TAIWAN PROVINCE OF CHINA,2015,50700.0,127823.0,178524.0
TAIWAN PROVINCE OF CHINA,2016,53686.0,136690.0,190376.0
TAIWAN PROVINCE OF CHINA,2017,55952.0,127497.0,183449.0
TAIWAN PROVINCE OF CHINA,2018,54748.0,116341.0,171090.0
TAIWAN PROVINCE OF CHINA,2019,56878.0,112401.0,169279.0
TAIWAN PROVINCE OF CHINA,2020,48038.0,94932.0,142970.0
TAIWAN PROVINCE OF CHINA,2021,35414.0,90613.0,126027.0
TAIWAN PROVINCE OF CHINA,2022,48208.0,120350.0,168558.0
TAJIKISTAN,2012,24.0,6.0,30.0
TAJIKISTAN,2013,28.0,10.0,38.0
TAJIKISTAN,2014,24.0,12.0,36.0
TAJIKISTAN,2015,40.0,14.0,54.0
TAJIKISTAN,2016,125.0,94.0,219.0
TAJIKISTAN,2017,146.0,77.0,223.0
TAJIKISTAN,2018,172.0,106.0,278.0
"TANZANIA, UNITED REPUBLIC OF",2021,12337.0,19110.0,31447.0
THAILAND,2006,,,81490.0
THAILAND,2007,,,83234.0
THAILAND,2008,,,98996.0
THAILAND,2009,,,86395.0
THAILAND,2010,,,101329.0
THAILAND,2011,,,109360.0
THAILAND,2012,,,118187.0
THAILAND,2013,94131.0,67594.0,161725.0
THAILAND,2014,98396.0,71508.0,169904.0
THAILAND,2015,106841.0,78269.0,185110.0
THAILAND,2016,115568.0,85391.0,200959.0
THAILAND,2017,125471.0,92525.0,217997.0
THAILAND,2018,130868.0,96906.0,227774.0
THAILAND,2019,131559.0,98190.0,229749.0
THAILAND,2020,74283.0,50506.0,124790.0
TRINIDAD AND TOBAGO,2009,596.0,,
TRINIDAD AND TOBAGO,2010,716.0,,
TRINIDAD AND TOBAGO,2011,546.0,,
TRINIDAD AND TOBAGO,2013,627.0,,1891.0
TRINIDAD AND TOBAGO,2014,,,1858.0
TRINIDAD AND TOBAGO,2015,,,1861.0
TRINIDAD AND TOBAGO,2016,,,1790.0
TRINIDAD AND TOBAGO,2017,,,1468.0
TRINIDAD AND TOBAGO,2018,,,1296.0
TRINIDAD AND TOBAGO,2019,,,1530.0
TRINIDAD AND TOBAGO,2020,,,808.0
TRINIDAD AND TOBAGO,2021,,,830.0
TRINIDAD AND TOBAGO,2022,,,1337.0
TÜRKIYE,2009,60888.0,39572.0,100460.0
TÜRKIYE,2010,68373.0,43128.0,111500.0
TÜRKIYE,2011,65854.0,38317.0,104171.0
TÜRKIYE,2012,64922.0,41304.0,106226.0
TÜRKIYE,2013,68452.0,43709.0,112161.0
TÜRKIYE,2014,70894.0,44194.0,155088.0
TÜRKIYE,2015,71251.0,44130.0,115381.0
TÜRKIYE,2016,68450.0,38051.0,106501.0
TÜRKIYE,2017,77179.0,43693.0,120872.0
TÜRKIYE,2018,78523.0,47943.0,126466.0
TÜRKIYE,2019,78202.0,46438.0,124640.0
TÜRKIYE,2020,42847.0,24295.0,67142.0
TÜRKIYE,2021,52774.0,23109.0,75883.0
TÜRKIYE,2022,52327.0,24240.0,76567.0
UGANDA,2019,8608.0,12883.0,21491.0
UGANDA,2022,9456.0,14152.0,23608.0
UNITED ARAB EMIRATES,2014,3336.0,,
UNITED ARAB EMIRATES,2015,6572.0,,
UNITED ARAB EMIRATES,2016,7157.0,,
UNITED ARAB EMIRATES,2017,5466.0,,
UNITED ARAB EMIRATES,2018,7882.0,,
UNITED ARAB EMIRATES,2019,8453.0,,
UNITED ARAB EMIRATES,2020,8761.0,,
UNITED ARAB EMIRATES,2021,10196.0,,
UNITED KINGDOM,2009,126010.0,,
UNITED KINGDOM,2010,119434.0,,
UNITED KINGDOM,2011,126640.0,1542000.0,1668640.0
UNITED KINGDOM,2012,126020.0,1710000.0,1836020.0
UNITED KINGDOM,2013,122905.0,1588000.0,1710905.0
UNITED KINGDOM,2014,114242.0,1584700.0,1698942.0
UNITED KINGDOM,2015,124426.0,1525200.0,1649626.0
UNITED KINGDOM,2016,119455.0,1834200.0,1953655.0
UNITED KINGDOM,2017,120676.0,1793400.0,1914076.0
UNITED KINGDOM,2018,118556.0,1703400.0,1821956.0
UNITED KINGDOM,2019,122780.0,1653300.0,1776080.0
UNITED KINGDOM,2022,126000.0,2788000.0,2914000.0
UNITED STATES OF AMERICA,2007,,,2004500.0
UNITED STATES OF AMERICA,2008,,,1964900.0
UNITED STATES OF AMERICA,2009,,,1900100.0
UNITED STATES OF AMERICA,2010,,,1963700.0
UNITED STATES OF AMERICA,2011,,,1998500.0
UNITED STATES OF AMERICA,2012,,,2030300.0
UNITED STATES OF AMERICA,2013,,,2059600.0
UNITED STATES OF AMERICA,2014,,,2109300.0
UNITED STATES OF AMERICA,2015,,,2178700.0
UNITED STATES OF AMERICA,2016,,,2206500.0
UNITED STATES OF AMERICA,2017,,,2248700.0
UNITED STATES OF AMERICA,2018,,,2291100.0
UNITED STATES OF AMERICA,2019,,,2326623.0
UNITED STATES OF AMERICA,2020,,,1581116.0
UNITED STATES OF AMERICA,2021,,,2020000.0
URUGUAY,2017,5897.0,1117.0,7014.0
URUGUAY,2018,5169.0,964.0,6133.0
URUGUAY,2019,5878.0,2454.0,8332.0
UZBEKISTAN,2016,,,94187.0
UZBEKISTAN,2017,,,106814.0
UZBEKISTAN,2018,,,119094.0
UZBEKISTAN,2019,,,108517.0
"VENEZUELA, BOLIVARIAN REPUBLIC OF",2005,,,17839.0
"VENEZUELA, BOLIVARIAN REPUBLIC OF",2006,10931.0,6411.0,17372.0
"VENEZUELA, BOLIVARIAN REPUBLIC OF",2007,10720.0,6528.0,17248.0
"VENEZUELA, BOLIVARIAN REPUBLIC OF",2008,14113.0,7972.0,22085.0
"VENEZUELA, BOLIVARIAN REPUBLIC OF",2009,12644.0,3884.0,16528.0
"VENEZUELA, BOLIVARIAN REPUBLIC OF",2010,12333.0,4690.0,17023.0
"VENEZUELA, BOLIVARIAN REPUBLIC OF",2011,13232.0,5032.0,18264.0
"VENEZUELA, BOLIVARIAN REPUBLIC OF",2012,12209.0,5106.0,17315.0
"VENEZUELA, BOLIVARIAN REPUBLIC OF",2013,15774.0,5752.0,21526.0
"VENEZUELA, BOLIVARIAN REPUBLIC OF",2014,14890.0,5799.0,20689.0
"VENEZUELA, BOLIVARIAN REPUBLIC OF",2015,10975.0,5169.0,16144.0
"VENEZUELA, BOLIVARIAN REPUBLIC OF",2016,12552.0,4642.0,17194.0
"VENEZUELA, BOLIVARIAN REPUBLIC OF",2017,12648.0,4909.0,17557.0
VIET NAM,2000,,,11200.0
VIET NAM,2001,,,11700.0
VIET NAM,2002,,,13000.0
VIET NAM,2003,,,13500.0
VIET NAM,2004,,,14500.0
VIET NAM,2005,,,16100.0
VIET NAM,2006,,,17500.0
VIET NAM,2007,,,19200.0
VIET NAM,2008,,,20500.0
VIET NAM,2009,,,25000.0
VIET NAM,2010,,,28000.0
VIET NAM,2011,,,30000.0
VIET NAM,2012,,,32500.0
VIET NAM,2013,,,35000.0
VIET NAM,2014,,,38500.0
VIET NAM,2015,,,57000.0
VIET NAM,2016,29200.0,32800.0,62000.0
VIET NAM,2017,35700.0,37500.0,73200.0
VIET NAM,2018,38600.0,41400.0,80000.0
VIET NAM,2019,43500.0,41500.0,85000.0
VIET NAM,2020,28700.0,27300.0,56000.0
VIET NAM,2021,19000.0,21000.0,40000.0
VIET NAM,2022,66700.0,34600.0,101300.0
ZIMBABWE,2000,18824.0,13644.0,32468.0
ZIMBABWE,2001,16917.0,12261.0,29178.0
ZIMBABWE,2002,12818.0,9291.0,22109.0
ZIMBABWE,2003,11534.0,8360.0,19894.0
ZIMBABWE,2004,11881.0,8611.0,20492.0
ZIMBABWE,2005,11534.0,8360.0,19894.0
ZIMBABWE,2006,12073.0,8750.0,20823.0
ZIMBABWE,2007,12001.0,8698.0,20699.0
ZIMBABWE,2008,11929.0,8647.0,20576.0
ZIMBABWE,2009,12101.0,8770.0,20871.0
ZIMBABWE,2010,6282.0,4553.0,10835.0
ZIMBABWE,2011,9206.0,6672.0,15878.0
ZIMBABWE,2012,9466.0,6861.0,16327.0
ZIMBABWE,2013,7787.0,5644.0,13431.0
ZIMBABWE,2014,7990.0,5791.0,13781.0
ZIMBABWE,2015,9524.0,6903.0,16427.0
ZIMBABWE,2016,9495.0,6882.0,16377.0
ZIMBABWE,2017,9106.0,6600.0,15707.0
ZIMBABWE,2018,8801.0,6379.0,15180.0
ZIMBABWE,2019,12157.0,8834.0,20991.0
ZIMBABWE,2020,4757.0,3445.0,8202.0
ZIMBABWE,2021,6874.0,4978.0,11852.0
ZIMBABWE,2022,12275.0,8889.0,21164.0
